time                     , close, cash              , sol               , equity            , signal, reason                                              , peak              , drawdown
2026-03-31 18:00:00+00:00, 82.8 , 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-03-31 19:00:00+00:00, 82.64, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-03-31 20:00:00+00:00, 83.08, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-03-31 21:00:00+00:00, 82.77, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-03-31 22:00:00+00:00, 82.68, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-03-31 23:00:00+00:00, 83.11, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-04-01 00:00:00+00:00, 83.31, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-04-01 01:00:00+00:00, 82.68, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-04-01 02:00:00+00:00, 82.57, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-04-01 03:00:00+00:00, 83.34, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-04-01 04:00:00+00:00, 83.65, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-04-01 05:00:00+00:00, 84.05, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-04-01 06:00:00+00:00, 84.4 , 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-04-01 07:00:00+00:00, 83.8 , 147.88247915402704, 0.5852975554175774, 196.93041429802003, BUY   , "EMA fast > EMA slow, close > EMA fast, RSI healthy", 200.13015858976962, -0.01598831637518705
2026-04-01 08:00:00+00:00, 83.6 , 147.88247915402704, 0.5852975554175774, 196.81335478693651, HOLD  , Position still valid                                , 200.13015858976962, -0.01657323327081328
2026-04-01 09:00:00+00:00, 83.38, 147.88247915402704, 0.5852975554175774, 196.68458932474465, HOLD  , Position still valid                                , 200.13015858976962, -0.017216641856002135
2026-04-01 10:00:00+00:00, 83.36, 147.88247915402704, 0.5852975554175774, 196.6728833736363 , HOLD  , Position still valid                                , 200.13015858976962, -0.017275133545564758
2026-04-01 11:00:00+00:00, 83.35, 147.88247915402704, 0.5852975554175774, 196.66703039808212, HOLD  , Position still valid                                , 200.13015858976962, -0.017304379390346125
2026-04-01 12:00:00+00:00, 83.0 , 147.88247915402704, 0.5852975554175774, 196.46217625368598, HOLD  , Position still valid                                , 200.13015858976962, -0.018327983957691973
2026-04-01 13:00:00+00:00, 82.6 , 195.98652272344378, 0.0               , 195.98652272344378, SELL  , ATR stop loss hit                                   , 200.13015858976962, -0.020704704855701084
2026-04-01 14:00:00+00:00, 83.37, 146.98989204258282, 0.5847654104098793, 195.74178430845447, BUY   , "EMA fast > EMA slow, close > EMA fast, RSI healthy", 200.13015858976962, -0.021927601078408743
2026-04-01 15:00:00+00:00, 83.62, 146.98989204258282, 0.5847654104098793, 195.88797566105694, HOLD  , Position still valid                                , 200.13015858976962, -0.021197119707521805
2026-04-01 16:00:00+00:00, 85.22, 146.98989204258282, 0.5847654104098793, 196.82360031771273, HOLD  , Position still valid                                , 200.13015858976962, -0.01652203893384574
2026-04-01 17:00:00+00:00, 84.42, 146.98989204258282, 0.5847654104098793, 196.35578798938485, HOLD  , Position still valid                                , 200.13015858976962, -0.018859579320683717
2026-04-01 18:00:00+00:00, 83.6 , 146.98989204258282, 0.5847654104098793, 195.87628035284874, HOLD  , Position still valid                                , 200.13015858976962, -0.021255558217192827
2026-04-01 19:00:00+00:00, 83.76, 146.98989204258282, 0.5847654104098793, 195.9698428185143 , HOLD  , Position still valid                                , 200.13015858976962, -0.02078805013982521
2026-04-01 20:00:00+00:00, 82.66, 146.98989204258282, 0.5847654104098793, 195.32660086706343, HOLD  , Position still valid                                , 200.13015858976962, -0.024002168171727734
2026-04-01 21:00:00+00:00, 81.85, 194.61381709261656, 0.0               , 194.61381709261656, SELL  , ATR stop loss hit                                   , 200.13015858976962, -0.02756376917913983
2026-04-01 22:00:00+00:00, 81.16, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-01 23:00:00+00:00, 81.17, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 00:00:00+00:00, 81.64, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 01:00:00+00:00, 79.34, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 02:00:00+00:00, 78.87, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 03:00:00+00:00, 78.99, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 04:00:00+00:00, 78.82, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 05:00:00+00:00, 79.24, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 06:00:00+00:00, 79.12, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 07:00:00+00:00, 79.64, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 08:00:00+00:00, 79.12, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 09:00:00+00:00, 79.24, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 10:00:00+00:00, 78.88, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 11:00:00+00:00, 78.33, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 12:00:00+00:00, 77.94, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 13:00:00+00:00, 77.72, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 14:00:00+00:00, 79.08, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 15:00:00+00:00, 79.02, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 16:00:00+00:00, 79.4 , 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 17:00:00+00:00, 78.57, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 18:00:00+00:00, 79.13, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 19:00:00+00:00, 79.0 , 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 20:00:00+00:00, 79.17, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 21:00:00+00:00, 78.96, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 22:00:00+00:00, 78.99, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-02 23:00:00+00:00, 78.95, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 00:00:00+00:00, 79.22, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 01:00:00+00:00, 79.15, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 02:00:00+00:00, 79.35, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 03:00:00+00:00, 79.0 , 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 04:00:00+00:00, 79.33, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 05:00:00+00:00, 79.31, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 06:00:00+00:00, 79.67, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 07:00:00+00:00, 79.9 , 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 08:00:00+00:00, 79.76, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 09:00:00+00:00, 79.94, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 10:00:00+00:00, 80.16, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 11:00:00+00:00, 80.17, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 12:00:00+00:00, 79.33, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 13:00:00+00:00, 79.59, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 14:00:00+00:00, 80.27, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 15:00:00+00:00, 80.34, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 16:00:00+00:00, 80.56, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 17:00:00+00:00, 80.2 , 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 18:00:00+00:00, 80.11, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 19:00:00+00:00, 80.2 , 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 20:00:00+00:00, 80.21, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 21:00:00+00:00, 80.41, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 22:00:00+00:00, 80.16, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-03 23:00:00+00:00, 80.39, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-04 00:00:00+00:00, 80.2 , 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-04 01:00:00+00:00, 80.13, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-04 02:00:00+00:00, 80.18, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-04 03:00:00+00:00, 80.17, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-04 04:00:00+00:00, 80.25, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-04 05:00:00+00:00, 80.17, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-04 06:00:00+00:00, 80.46, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-04 07:00:00+00:00, 80.3 , 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-04 08:00:00+00:00, 79.96, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-04 09:00:00+00:00, 80.03, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-04 10:00:00+00:00, 80.23, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-04 11:00:00+00:00, 80.19, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-04 12:00:00+00:00, 80.1 , 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-04 13:00:00+00:00, 80.03, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-04 14:00:00+00:00, 80.31, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
2026-04-04 15:00:00+00:00, 81.09, 194.61381709261656, 0.0               , 194.61381709261656, HOLD  , No entry setup                                      , 200.13015858976962, -0.02756376917913983
